"Density","Momentum:0","Momentum:1","Momentum:2","Energy","Nu_Tilde","Grid_Velocity:0","Grid_Velocity:1","Grid_Velocity:2","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Heat_Flux","Y_Plus","Eddy_Viscosity","Points:0","Points:1","Points:2"
1.1193,0,0,0,2.2941e+05,0,0,0,0,91765,285.61,0,-1.1002,1.716e-05,-2.2261e-06,-4.774e-06,0.0038032,-69.047,1.2384,0,0.040662,-0.019277,-0.0045456
1.1193,-0.0030231,-0.0097709,7.3217,2.2944e+05,7.4435e-06,0,0,0,91766,285.6,0.019308,-1.1002,1.716e-05,0,0,0,0,0,2.6634e-09,0.040666,-0.019277,-0.0045458
1.1196,-0.0055215,-0.022562,18.979,2.2958e+05,1.9257e-05,0,0,0,91766,285.53,0.050042,-1.1002,1.716e-05,0,0,0,0,0,1.1882e-07,0.040671,-0.019279,-0.0045461
1.1206,-0.0036392,-0.037116,36.689,2.3002e+05,3.7574e-05,0,0,0,91767,285.28,0.096694,-1.1,1.716e-05,0,0,0,0,0,1.6691e-06,0.04068,-0.019281,-0.0045467
1.1227,0.0070877,-0.049219,56.806,2.3086e+05,7.0448e-05,0,0,0,91768,284.76,0.14957,-1.0999,1.716e-05,0,0,0,0,0,1.6987e-05,0.040696,-0.019284,-0.0045475
1.1245,0.022194,-0.057291,69.325,2.3156e+05,0.00013397,0,0,0,91767,284.3,0.18239,-1.1,1.716e-05,0,0,0,0,0,9.8531e-05,0.040721,-0.019289,-0.004549
1.126,0.024363,-0.057124,78.33,2.3213e+05,0.0002191,0,0,0,91763,283.91,0.20595,-1.1005,1.716e-05,0,0,0,0,0,0.00022018,0.040763,-0.019298,-0.0045513
1.1274,-0.0075789,-0.039768,86.458,2.327e+05,0.00034601,0,0,0,91754,283.52,0.22719,-1.1016,1.716e-05,0,0,0,0,0,0.00037855,0.040831,-0.019313,-0.0045553
1.1289,-0.098031,0.0059119,94.397,2.333e+05,0.00052773,0,0,0,91740,283.1,0.24791,-1.1031,1.716e-05,0,0,0,0,0,0.00059069,0.040945,-0.019337,-0.0045618
1.1305,-0.26343,0.086483,102.48,2.3396e+05,0.00076506,0,0,0,91726,282.64,0.26896,-1.1048,1.716e-05,0,0,0,0,0,0.00086253,0.041132,-0.019378,-0.0045724
1.1325,-0.51269,0.20435,111.25,2.3475e+05,0.001024,0,0,0,91713,282.11,0.29175,-1.1063,1.716e-05,0,0,0,0,0,0.0011584,0.041441,-0.019444,-0.00459
1.135,-0.83991,0.35502,121.32,2.3577e+05,0.0011939,0,0,0,91713,281.5,0.31782,-1.1062,1.716e-05,0,0,0,0,0,0.0013541,0.04195,-0.019553,-0.0046189
1.1385,-1.1637,0.49397,133.32,2.3721e+05,0.00099669,0,0,0,91760,280.77,0.34861,-1.1008,1.716e-05,0,0,0,0,0,0.0011333,0.042792,-0.019725,-0.0046662
1.1418,-1.3509,0.51456,142.84,2.3859e+05,0.00020493,0,0,0,91861,280.27,0.37278,-1.0893,1.716e-05,0,0,0,0,0,0.00020505,0.044183,-0.019995,-0.0047436
1.1426,-1.4068,0.45811,144.15,2.389e+05,4.7755e-05,0,0,0,91924,280.25,0.37594,-1.082,1.716e-05,0,0,0,0,0,4.4983e-06,0.046485,-0.020404,-0.0048691
1.1424,-1.5842,0.4748,144.37,2.3886e+05,4.4445e-05,0,0,0,91893,280.22,0.37661,-1.0856,1.716e-05,0,0,0,0,0,3.4266e-06,0.050302,-0.020969,-0.0050697
1.142,-1.9936,0.60299,144.62,2.3879e+05,4.4427e-05,0,0,0,91854,280.19,0.37741,-1.0901,1.716e-05,0,0,0,0,0,3.4173e-06,0.054176,-0.02141,-0.0052638
1.142,-2.5466,0.77687,144.67,2.3879e+05,4.4383e-05,0,0,0,91849,280.19,0.3776,-1.0906,1.716e-05,0,0,0,0,0,3.4039e-06,0.058078,-0.021714,-0.0054524
1.1423,-3.1268,0.96935,144.48,2.3884e+05,4.4406e-05,0,0,0,91879,280.21,0.37702,-1.0871,1.716e-05,0,0,0,0,0,3.4138e-06,0.061974,-0.021865,-0.0056321
1.1427,-3.68,1.1619,144.13,2.3892e+05,4.4431e-05,0,0,0,91931,280.26,0.37596,-1.0812,1.716e-05,0,0,0,0,0,3.4264e-06,0.065834,-0.022222,-0.0058125
1.1433,-4.2135,1.3256,143.68,2.3903e+05,4.4474e-05,0,0,0,91996,280.31,0.3746,-1.0737,1.716e-05,0,0,0,0,0,3.4456e-06,0.06967,-0.022919,-0.0059921
1.1441,-4.7102,1.4583,143.04,2.3916e+05,4.4539e-05,0,0,0,92084,280.39,0.37267,-1.0635,1.716e-05,0,0,0,0,0,3.4736e-06,0.073474,-0.023548,-0.0061675
1.1451,-5.123,1.5577,142.21,2.3934e+05,4.46e-05,0,0,0,92197,280.49,0.37016,-1.0505,1.716e-05,0,0,0,0,0,3.5035e-06,0.077301,-0.02412,-0.0063394
1.1463,-5.4174,1.6156,141.23,2.3954e+05,4.467e-05,0,0,0,92329,280.6,0.3672,-1.0353,1.716e-05,0,0,0,0,0,3.538e-06,0.081162,-0.024635,-0.0065085
1.1476,-5.5638,1.6267,140.14,2.3976e+05,4.4742e-05,0,0,0,92475,280.73,0.3639,-1.0185,1.716e-05,0,0,0,0,0,3.575e-06,0.085036,-0.02509,-0.0066775
1.1488,-5.5526,1.5931,139.06,2.3998e+05,4.4799e-05,0,0,0,92621,280.85,0.3606,-1.0018,1.716e-05,0,0,0,0,0,3.6078e-06,0.088905,-0.025533,-0.0068421
1.15,-5.4232,1.5321,138.12,2.4018e+05,4.4826e-05,0,0,0,92748,280.96,0.35773,-0.98721,1.716e-05,0,0,0,0,0,3.6295e-06,0.092702,-0.026231,-0.0070115
1.151,-5.2126,1.4568,137.23,2.4036e+05,4.4857e-05,0,0,0,92866,281.06,0.35501,-0.97353,1.716e-05,0,0,0,0,0,3.6515e-06,0.096504,-0.026897,-0.0071789
1.1521,-4.9233,1.362,136.35,2.4054e+05,4.4892e-05,0,0,0,92982,281.16,0.35233,-0.96017,1.716e-05,0,0,0,0,0,3.6746e-06,0.10031,-0.027535,-0.0073493
1.153,-4.5448,1.2459,135.48,2.4071e+05,4.4922e-05,0,0,0,93095,281.26,0.3497,-0.94726,1.716e-05,0,0,0,0,0,3.6962e-06,0.10411,-0.028139,-0.0075167
1.154,-4.0653,1.106,134.65,2.4087e+05,4.495e-05,0,0,0,93201,281.35,0.34718,-0.93502,1.716e-05,0,0,0,0,0,3.7161e-06,0.1079,-0.028711,-0.0076831
1.1548,-3.4754,0.93762,133.9,2.4101e+05,4.4968e-05,0,0,0,93296,281.44,0.34489,-0.92407,1.716e-05,0,0,0,0,0,3.7322e-06,0.11167,-0.02925,-0.0078537
1.1554,-2.8129,0.75486,133.42,2.411e+05,4.4939e-05,0,0,0,93358,281.49,0.34343,-0.917,1.716e-05,0,0,0,0,0,3.7296e-06,0.11541,-0.029951,-0.0080251
1.1557,-2.128,0.57529,133.12,2.4116e+05,4.4887e-05,0,0,0,93397,281.52,0.34249,-0.91249,1.716e-05,0,0,0,0,0,3.7174e-06,0.11912,-0.030666,-0.0082058
1.1559,-1.4313,0.3963,132.97,2.4119e+05,4.4978e-05,0,0,0,93417,281.54,0.34203,-0.91017,1.716e-05,0,0,0,0,0,3.7484e-06,0.12282,-0.031364,-0.0083864
